landmark,latitude,longitude,start_lat,start_lon,end_lat,end_lon
Brooklyn Bridge,40.7065,-73.997,40.7113,-74.0037,40.6984,-73.9936
Statue of Liberty,40.6892,-74.0445,40.7029,-74.0126,40.7029,-74.0126
Charging Bull,40.7056,-74.0134,40.7059,-74.0169,40.7038,-74.0068
Times Square,40.7589,-73.9851,40.7554,-73.9866,40.761,-73.9845
The Metropolitan Museum of Art,40.7794,-73.9632,40.7835,-73.9595,40.7795,-73.9736
World Trade Center,40.7118,-74.0131,40.712,-74.0156,40.7182,-74.0132
Madison Square Garden,40.7505,-73.9934,40.7518,-73.9939,40.7477,-73.9973
Columbia University,40.8075,-73.9626,40.8085,-73.9642,40.807,-73.9606
American Museum of Natural History,40.7813,-73.974,40.7804,-73.9773,40.7829,-73.9713
Empire State Building,40.7484,-73.9857,40.7492,-73.9885,40.7478,-73.9849
